"Season","Name","Team","Age","AVG","OBP","SLG","OPS","AB","H","R","HR","RBI","SB","Off","WAR","playerid"
"1979","Duane Kuiper","CLE","29",".255",".313",".294",".608","479","122","46","0","39","4","-25.0","-0.5","1007207"
"2018","Dee Gordon","SEA","30",".268",".288",".349",".637","556","149","62","4","36","30","-13.8","0.0","8203"
"1984","Steve Sax","LAD","24",".243",".300",".304",".604","569","138","70","1","35","34","-18.3","0.6","1011481"
"1992","Steve Sax","CHW","32",".236",".290",".317",".607","567","134","74","4","47","30","-19.1","-0.3","1011481"
"1984","Ron Oester","CIN","28",".242",".295",".316",".612","553","134","54","3","38","7","-21.8","-0.8","1009739"
"2012","Jemile Weeks","OAK","25",".221",".305",".304",".609","444","98","54","2","20","16","-14.0","-0.2","2498"
"1974","Gary Sutherland","DET","29",".254",".282",".313",".596","619","157","60","5","49","1","-25.6","-0.7","1012739"
"1970","Sandy Alomar","CAL","26",".251",".302",".293",".596","672","169","82","2","36","35","-22.2","2.1","1000176"
"2003","Alex Cora","LAD","27",".249",".287",".338",".625","477","119","39","4","34","4","-21.9","-0.1","1386"
"2012","Dustin Ackley","SEA","24",".226",".294",".328",".622","607","137","84","12","50","13","-12.9","2.1","10099"
"1974","Dave Nelson","TEX","30",".236",".291",".287",".578","474","112","71","3","42","25","-17.3","-0.2","1009499"
"2017","Jose Peraza","CIN","23",".259",".297",".324",".622","487","126","50","5","37","23","-23.2","-0.3","13593"
"1970","Dave Campbell","SDP","28",".219",".268",".336",".604","581","127","71","12","40","18","-25.8","0.2","1001876"
"1969","Gary Sutherland","MON","24",".239",".289",".307",".596","544","130","63","3","35","5","-25.4","-1.4","1012739"
"2017","Rougned Odor","TEX","23",".204",".252",".397",".649","607","124","79","30","75","15","-33.2","-1.4","12282"
"1972","Denny Doyle","PHI","28",".249",".295",".296",".591","442","110","33","1","26","6","-19.0","-0.4","1003460"
"1983","Juan Bonilla","SDP","28",".237",".301",".304",".605","556","132","55","4","45","3","-21.6","0.6","1001169"
"1981","Rodney Scott","MON","27",".205",".308",".250",".558","336","69","43","0","26","30","-11.3","0.3","1011693"
"2020","Marwin Gonzalez","MIN","31",".211",".286",".320",".606","175","37","15","5","22","0","-7.3","0.2","5497"
"1975","Sandy Alomar","NYY","31",".239",".277",".305",".581","489","117","61","2","39","28","-17.1","1.0","1000176"
"2002","Brent Abernathy","TBD","24",".242",".288",".311",".599","463","112","46","2","40","10","-24.9","-0.3","1192"
"1977","Denny Doyle","BOS","33",".240",".289",".308",".596","455","109","54","2","49","2","-28.9","-0.3","1003460"
"1970","Horace Clarke","NYY","30",".251",".286",".309",".595","686","172","81","4","46","23","-26.7","0.0","1002287"
"1972","Sandy Alomar","CAL","28",".239",".292",".287",".579","610","146","65","1","25","20","-14.8","0.9","1000176"
"1988","Frank White","KCR","37",".235",".266",".330",".595","537","126","48","8","58","7","-23.8","0.5","1013872"
"1969","Sandy Alomar","- - -","25",".248",".294",".279",".573","617","153","68","1","34","20","-23.4","-0.8","1000176"
"2020","Jonathan Villar","- - -","29",".232",".301",".292",".593","185","43","13","2","15","16","-8.2","-0.3","10071"
"1985","Manny Trillo","SFG","34",".224",".287",".288",".576","451","101","36","3","25","2","-18.6","0.8","1013184"
"2003","Ramon Santiago","DET","23",".225",".292",".284",".576","444","100","41","2","29","10","-23.3","-1.3","1417"
"1976","Len Randle","TEX","27",".224",".286",".273",".559","539","121","53","1","51","30","-21.5","-0.4","1010693"
"1970","Julian Javier","STL","33",".251",".284",".306",".590","513","129","62","2","42","6","-30.5","-0.8","1006371"
"1996","Delino DeShields","LAD","27",".224",".288",".298",".585","581","130","75","5","41","48","-27.4","-1.7","275"
"1972","Jack Brohamer","CLE","22",".233",".271",".294",".565","527","123","49","5","35","3","-21.1","0.5","1001465"
"1984","Curtis Wilkerson","TEX","23",".248",".282",".279",".561","484","120","47","1","26","12","-27.7","-1.1","1013951"
"1989","Jose Lind","PIT","25",".232",".280",".289",".569","578","134","52","2","48","15","-23.3","-0.4","1007623"
"1979","Doug Flynn","NYM","28",".243",".265",".317",".582","555","135","35","4","61","0","-31.6","-1.6","1004182"
"1973","Sandy Alomar","CAL","29",".238",".288",".257",".545","470","112","45","0","28","25","-21.9","0.1","1000176"
"2015","Chris Owings","ARI","23",".227",".264",".322",".587","515","117","59","4","43","16","-26.7","-1.1","10030"
"2020","Nicky Lopez","KCR","25",".201",".286",".266",".552","169","34","15","1","13","0","-12.8","-0.2","19339"
"1978","Doug Flynn","NYM","27",".237",".277",".289",".567","532","126","37","0","36","3","-28.4","-1.3","1004182"
"2013","Darwin Barney","CHC","27",".208",".266",".303",".569","501","104","49","7","41","4","-29.3","-0.3","2430"
"1977","Mike Champion","SDP","22",".229",".271",".286",".557","507","116","35","1","43","3","-30.9","-2.5","1002128"
"1970","Tommy Helms","CIN","29",".237",".262",".282",".543","575","136","42","1","45","2","-39.5","-1.4","1005616"
"1992","Jose Lind","PIT","28",".235",".275",".269",".544","468","110","38","0","39","3","-28.8","-1.5","1007623"
"1988","Billy Ripken","BAL","23",".207",".260",".258",".518","512","106","52","2","34","8","-32.4","-1.9","1010977"
"1981","Doug Flynn","NYM","30",".222",".247",".292",".539","325","72","24","1","20","1","-21.1","-0.5","1004182"
