"Season","Name","Team","Age","AVG","OBP","SLG","OPS","AB","H","R","HR","RBI","SB","Off","WAR","playerid"
"2005","Jorge Posada","NYY","33",".262",".352",".430",".782","474","124","67","19","71","1","5.5","3.3","841"
"1977","Jim Sundberg","TEX","26",".291",".365",".389",".753","453","132","61","6","65","2","5.9","4.7","1012724"
"1983","Tony Pena","PIT","26",".301",".338",".435",".773","542","163","51","15","70","6","5.9","3.8","1010153"
"2010","Mike Napoli","LAA","28",".238",".316",".468",".784","453","108","60","26","68","4","7.5","2.1","3057"
"2015","Francisco Cervelli","PIT","29",".295",".370",".401",".771","451","133","56","7","43","1","9.4","5.9","5275"
"1981","Brian Downing","CAL","30",".249",".351",".379",".730","317","79","47","9","41","1","7.3","1.3","1003451"
"1987","Benito Santiago","SDP","22",".300",".324",".467",".791","546","164","64","18","79","21","5.0","3.1","1130"
"2015","Russell Martin","TOR","32",".240",".329",".458",".787","441","106","76","23","77","4","4.1","4.5","4616"
"2014","Yan Gomes","CLE","26",".278",".313",".472",".785","485","135","61","21","74","0","10.5","5.1","9627"
"2003","Ramon Hernandez","OAK","27",".273",".331",".458",".789","483","132","70","21","78","0","3.0","3.3","918"
"2005","Joe Mauer","MIN","22",".294",".372",".411",".783","489","144","61","9","55","13","8.2","3.4","1857"
"2011","Matt Wieters","BAL","25",".262",".328",".450",".778","500","131","72","22","68","1","3.1","5.7","4298"
"2019","J.T. Realmuto","PHI","28",".275",".328",".493",".820","538","148","92","25","83","9","12.0","5.7","11739"
"1984","Ozzie Virgil","PHI","27",".261",".331",".434",".765","456","119","61","18","68","1","7.7","3.2","1013439"
"1986","Tony Pena","PIT","29",".288",".356",".406",".762","510","147","56","10","52","9","5.7","4.0","1010153"
"1993","Brian Harper","MIN","33",".304",".347",".425",".772","530","161","52","12","73","1","1.4","2.3","1005376"
"1969","Bill Freehan","DET","27",".262",".342",".405",".747","489","128","61","16","49","1","4.9","2.9","1004315"
"1973","Earl Williams","BAL","24",".237",".333",".425",".758","459","109","58","22","83","0","7.9","3.4","1013995"
"1981","Gary Carter","MON","27",".251",".313",".444",".756","374","94","48","16","68","1","3.8","3.9","1002015"
"2004","Mike Lieberthal","PHI","32",".271",".335",".447",".783","476","129","58","17","61","1","-7.6","1.5","959"
"2020","Yasmani Grandal","CHW","31",".230",".351",".422",".773","161","37","27","8","27","0","1.4","1.7","11368"
