"Season","Name","Team","Age","AVG","OBP","SLG","OPS","AB","H","R","HR","RBI","SB","Off","WAR","playerid"
"2000","Rafael Palmeiro","TEX","35",".288",".397",".558",".954","565","163","102","39","120","2","27.6","3.1","1266"
"1992","Danny Tartabull","NYY","29",".266",".409",".489",".898","421","112","72","25","85","2","30.6","3.7","1012829"
"2000","Jim Thome","CLE","29",".269",".398",".531",".929","557","150","106","37","106","1","29.5","4.4","409"
"1990","Jose Canseco","OAK","25",".274",".371",".543",".914","481","132","83","37","101","19","36.0","5.2","1001918"
"1994","Jose Canseco","TEX","29",".282",".386",".552",".939","429","121","88","31","90","15","22.3","2.7","1001918"
"1988","Kent Hrbek","MIN","28",".312",".387",".520",".907","510","159","75","25","76","0","29.8","4.3","1006117"
"1994","Julio Franco","CHW","35",".319",".406",".510",".916","433","138","72","20","98","8","28.3","3.1","87"
"1982","Hal McRae","KCR","36",".308",".369",".542",".910","613","189","91","27","133","4","36.7","4.3","1008687"
"2007","Jack Cust","OAK","28",".256",".408",".504",".912","395","101","61","26","82","0","25.1","2.8","1564"
"2007","Vladimir Guerrero","LAA","32",".324",".403",".547",".950","574","186","89","27","125","2","28.1","3.2","778"
"2015","Nelson Cruz","SEA","34",".302",".369",".566",".936","590","178","90","44","93","3","41.2","5.0","2434"
"2012","Edwin Encarnacion","TOR","29",".280",".384",".557",".941","542","152","93","42","110","13","40.5","4.6","2151"
"2009","Adam Lind","TOR","25",".305",".370",".562",".932","587","179","93","35","114","1","32.9","3.4","8027"
"2001","Rafael Palmeiro","TEX","36",".273",".381",".563",".944","600","164","98","47","123","1","35.2","4.2","1266"
"1976","Hal McRae","KCR","30",".332",".407",".461",".868","527","175","75","8","73","22","34.5","4.4","1008687"
"1995","Mickey Tettleton","TEX","34",".238",".396",".510",".906","429","102","76","32","78","0","22.6","2.2","1012939"
"1984","Mike Easler","BOS","33",".313",".376",".516",".892","601","188","87","27","91","1","32.6","4.0","1003635"
"1999","Mike Sweeney","KCR","25",".322",".387",".520",".907","575","185","101","22","102","6","24.6","2.7","634"
"2004","Erubiel Durazo","OAK","29",".321",".396",".523",".919","511","164","80","22","88","3","28.6","3.1","1413"
"2006","Frank Thomas","OAK","38",".270",".381",".545",".926","466","126","77","39","114","0","20.1","2.4","255"
"1979","Don Baylor","CAL","30",".296",".371",".530",".901","628","186","120","36","139","22","36.6","3.6","1000700"
"2015","Edwin Encarnacion","TOR","32",".277",".372",".557",".929","528","146","94","39","111","3","34.4","4.5","2151"
"1991","Paul Molitor","MIL","34",".325",".399",".489",".888","665","216","133","17","75","19","40.8","5.2","1009040"
"1991","Chili Davis","MIN","31",".277",".385",".507",".892","534","148","84","29","93","5","27.8","3.3","1003041"
"1996","Harold Baines","CHW","37",".311",".399",".503",".902","495","154","80","22","95","3","23.9","2.9","1000434"
"1996","Kevin Seitzer","- - -","34",".326",".416",".466",".882","573","187","85","13","78","6","22.3","3.8","1011730"
