"Season","Name","Team","Age","AVG","OBP","SLG","OPS","AB","H","R","HR","RBI","SB","Off","WAR","playerid"
"1975","Bucky Dent","CHW","23",".264",".301",".341",".642","602","159","52","3","58","2","-17.6","1.2","1003212"
"1979","Bill Russell","LAD","30",".271",".297",".359",".656","627","170","72","7","56","6","-18.0","0.2","1011311"
"1976","Frank Taveras","PIT","26",".258",".321",".297",".618","519","134","76","0","24","58","-5.3","2.7","1012852"
"1977","Larry Bowa","PHI","31",".280",".313",".340",".652","624","175","93","4","41","32","-15.3","3.1","1001243"
"2018","Dansby Swanson","ATL","24",".238",".304",".395",".699","478","114","51","14","59","10","-10.2","1.8","18314"
"1998","Pat Meares","MIN","29",".260",".296",".368",".664","543","141","56","9","70","7","-24.8","-0.1","1008712"
"1977","Bucky Dent","NYY","25",".247",".300",".352",".653","477","118","54","8","49","1","-12.3","2.7","1003212"
"1990","Ozzie Smith","STL","35",".254",".330",".305",".635","512","130","61","1","50","32","-11.5","3.1","1012186"
"1985","Dave Concepcion","CIN","37",".252",".314",".330",".645","560","141","59","7","48","16","-16.8","0.9","1002494"
"2015","Elvis Andrus","TEX","26",".258",".309",".357",".667","596","154","69","7","62","25","-13.1","1.8","8709"
"1974","Larry Bowa","PHI","28",".275",".298",".338",".636","669","184","97","1","36","39","-16.8","0.8","1001243"
"2010","Orlando Cabrera","CIN","35",".263",".303",".354",".657","494","130","64","4","42","11","-17.1","0.7","766"
"1976","Freddie Patek","KCR","31",".241",".318",".306",".624","432","104","58","1","43","51","-4.7","2.8","1010052"
"1984","Spike Owen","SEA","23",".245",".308",".326",".635","530","130","67","3","43","16","-16.6","1.4","1009924"
"1976","Bill Russell","LAD","27",".274",".301",".343",".644","554","152","53","5","65","15","-10.1","2.3","1011311"
"1971","Don Kessinger","CHC","28",".258",".318",".316",".634","617","159","77","2","38","15","-21.2","0.4","1006877"
"1990","Dickie Thon","PHI","32",".255",".305",".350",".654","552","141","54","8","48","12","-15.8","1.4","1013033"
"2014","Elvis Andrus","TEX","25",".263",".314",".333",".647","619","163","72","2","41","27","-13.0","1.8","8709"
"1995","Chris Gomez","DET","24",".223",".292",".355",".647","431","96","49","11","50","4","-20.0","-1.1","1208"
"1971","Bud Harrelson","NYM","27",".252",".319",".303",".622","547","138","55","0","32","28","-9.0","3.8","1005387"
"1994","Ozzie Guillen","CHW","30",".288",".311",".348",".659","365","105","46","1","39","5","-15.2","0.8","1005125"
"1977","Roy Smalley","MIN","24",".231",".316",".315",".631","584","135","93","6","56","5","-21.3","1.4","1012078"
"2018","Amed Rosario","NYM","22",".256",".295",".381",".676","554","142","76","9","51","24","-6.1","1.4","15518"
"2002","Barry Larkin","CIN","38",".245",".305",".367",".672","507","124","72","7","47","13","-18.3","-0.1","335"
"2012","J.J. Hardy","BAL","29",".238",".282",".389",".671","663","158","85","22","68","0","-20.2","2.4","3797"
