"Season","Name","Team","Age","AVG","OBP","SLG","OPS","AB","H","R","HR","RBI","SB","Off","WAR","playerid"
"1986","George Brett","KCR","33",".290",".401",".481",".881","441","128","70","16","73","1","21.3","3.8","1001400"
"1976","George Brett","KCR","23",".333",".377",".462",".839","645","215","94","7","67","21","32.7","7.0","1001400"
"2011","Adrian Beltre","TEX","32",".296",".331",".561",".892","487","144","82","32","105","1","23.0","5.5","639"
"2019","Eugenio Suarez","CIN","27",".271",".358",".572",".930","575","156","87","49","103","3","22.5","4.5","12552"
"2009","Mark Reynolds","ARI","25",".260",".349",".543",".892","578","150","98","44","102","24","24.1","3.3","7619"
"1970","Billy Grabarkewitz","LAD","24",".289",".399",".454",".852","529","153","92","17","84","19","28.3","6.1","1004907"
"1999","Jeff Cirillo","MIL","29",".326",".401",".461",".862","607","198","98","15","88","7","19.8","4.8","1073"
"2014","Adrian Beltre","TEX","35",".324",".388",".492",".879","549","178","79","19","77","1","28.5","5.9","639"
"1991","Chris Sabo","CIN","29",".301",".354",".505",".859","582","175","91","26","88","19","29.9","5.4","1011357"
"2019","Kris Bryant","CHC","27",".282",".382",".521",".903","543","153","108","31","77","4","33.4","4.8","15429"
"1995","Robin Ventura","CHW","27",".295",".384",".498",".882","492","145","79","26","93","4","20.9","4.8","854"
"2019","Yoan Moncada","CHW","24",".315",".367",".548",".915","511","161","83","25","79","10","32.1","5.6","17232"
"1971","Harmon Killebrew","MIN","35",".254",".386",".464",".850","500","127","61","28","119","3","25.2","3.9","1006905"
"2007","Mike Lowell","BOS","33",".324",".378",".501",".879","589","191","79","21","120","3","17.0","4.5","527"
"1995","Tony Phillips","CAL","36",".261",".394",".459",".853","525","137","119","27","61","13","17.8","3.7","1010300"
"2005","Troy Glaus","ARI","28",".258",".363",".522",".885","538","139","78","37","97","4","22.9","3.2","15"
"2004","Alex Rodriguez","NYY","28",".286",".375",".512",".888","601","172","112","36","106","28","32.4","6.6","1274"
"1994","Edgar Martinez","SEA","31",".285",".387",".482",".869","326","93","47","13","51","6","12.7","3.0","1086"
"1971","Bill Melton","CHW","25",".269",".352",".492",".843","543","146","72","33","86","3","23.2","5.8","1008754"
"2013","Adrian Beltre","TEX","34",".315",".371",".509",".880","631","199","88","30","92","1","24.1","4.9","639"
"1993","Charlie Hayes","COL","28",".305",".355",".522",".876","573","175","89","25","98","11","13.3","3.9","1005525"
"1992","Dave Hollins","PHI","26",".270",".369",".469",".839","586","158","104","27","93","9","30.4","5.7","1391"
"2001","Troy Glaus","ANA","24",".250",".367",".531",".898","588","147","100","41","108","10","30.1","5.3","15"
"1993","Matt Williams","SFG","27",".294",".325",".561",".886","579","170","105","38","110","1","25.7","5.9","77"
"2000","Jeff Cirillo","COL","30",".326",".392",".477",".869","598","195","111","11","115","3","-2.5","3.0","1073"
"2012","Chase Headley","SDP","28",".286",".376",".498",".875","604","173","95","31","115","17","39.8","7.2","4720"
"2019","Josh Donaldson","ATL","33",".259",".379",".521",".900","549","142","96","37","94","4","24.6","4.9","5038"
"2009","Evan Longoria","TBR","23",".281",".364",".526",".889","584","164","100","33","113","9","26.8","7.2","9368"
"2009","Ryan Zimmerman","WSN","24",".292",".364",".525",".888","610","178","110","33","106","2","29.6","6.6","4220"
"1996","Robin Ventura","CHW","28",".287",".368",".520",".888","586","168","96","34","105","1","19.1","5.0","854"
"1998","Jeff Cirillo","MIL","28",".321",".402",".445",".847","604","194","97","14","68","10","24.9","6.5","1073"
"2019","Rafael Devers","BOS","22",".311",".361",".555",".916","647","201","129","32","115","8","31.6","5.9","17350"
"1997","John Valentin","BOS","30",".306",".372",".499",".871","575","176","95","18","77","7","19.1","4.3","1375"
"1975","Ron Cey","LAD","27",".283",".372",".473",".845","566","160","72","25","101","5","27.6","6.6","1002108"
"1996","Vinny Castilla","COL","28",".304",".343",".548",".892","629","191","97","40","113","7","5.6","3.3","84"
"2018","Eugenio Suarez","CIN","26",".283",".366",".526",".892","527","149","79","34","104","1","21.5","3.9","12552"
"1990","Edgar Martinez","SEA","27",".302",".397",".433",".830","487","147","71","11","49","1","20.8","5.5","1086"
"1986","Gary Gaetti","MIN","27",".287",".347",".518",".865","596","171","91","34","108","14","19.4","5.4","1004422"
"1981","Carney Lansford","BOS","24",".336",".389",".439",".828","399","134","61","4","52","15","16.2","3.2","1007331"
"1991","Howard Johnson","NYM","30",".259",".342",".535",".877","564","146","108","38","117","30","29.8","3.9","1006462"
"2012","David Wright","NYM","29",".306",".391",".492",".883","581","178","91","21","93","15","32.2","6.6","3787"
"2010","Evan Longoria","TBR","24",".294",".372",".507",".879","574","169","96","22","104","15","35.0","7.5","9368"
"1979","Toby Harrah","CLE","30",".279",".389",".444",".833","527","147","99","20","77","20","23.3","2.6","1005384"
"2018","Matt Carpenter","STL","32",".257",".374",".523",".897","564","145","111","36","81","4","34.0","5.0","8090"
"1994","Jim Thome","CLE","23",".268",".359",".523",".882","321","86","58","20","52","3","9.8","1.8","409"
"2016","Matt Carpenter","STL","30",".271",".380",".505",".885","473","128","81","21","68","0","22.0","3.2","8090"
"1982","Bob Horner","ATL","24",".261",".350",".501",".851","499","130","85","32","97","3","21.0","3.0","1006026"
"1994","Bobby Bonilla","NYM","31",".290",".374",".504",".878","403","117","60","20","67","1","16.1","3.0","1001168"
"2011","Aramis Ramirez","CHC","33",".306",".361",".510",".871","565","173","80","26","93","1","19.9","3.3","1002"
"2019","DJ LeMahieu","NYY","30",".327",".375",".518",".893","602","197","109","26","102","5","29.0","5.3","9874"
"2006","Scott Rolen","STL","31",".296",".369",".518",".887","521","154","94","22","95","7","23.2","5.5","970"
"1978","Ron Cey","LAD","30",".270",".380",".452",".833","555","150","84","23","84","2","26.2","5.7","1002108"
"1981","George Brett","KCR","28",".314",".361",".484",".846","347","109","42","6","43","14","16.1","3.0","1001400"
"1970","Ron Santo","CHC","30",".267",".369",".476",".844","555","148","83","26","114","2","13.0","4.4","1011447"
"1995","Wade Boggs","NYY","37",".324",".412",".422",".834","460","149","76","5","63","1","17.0","4.0","1001124"
"2001","Aramis Ramirez","PIT","23",".300",".350",".536",".885","603","181","83","34","112","5","20.5","4.7","1002"
"1993","Bobby Bonilla","NYM","30",".265",".352",".522",".874","502","133","81","34","87","3","19.9","3.6","1001168"
"2008","Troy Glaus","STL","31",".270",".372",".483",".856","544","147","69","27","99","0","19.1","4.8","15"
"2001","Scott Rolen","PHI","26",".289",".378",".498",".876","554","160","96","25","107","16","23.6","5.6","970"
"1971","Sal Bando","OAK","27",".271",".377",".452",".828","538","146","75","24","94","3","26.7","6.3","1000505"
"1984","Wade Boggs","BOS","26",".325",".407",".416",".823","625","203","109","6","55","3","23.4","6.0","1001124"
"1996","Dean Palmer","TEX","27",".280",".348",".527",".876","582","163","98","38","107","2","11.7","3.0","482"
"2015","Matt Carpenter","STL","29",".272",".365",".505",".871","574","156","101","28","84","4","31.9","5.3","8090"
"2003","Hank Blalock","TEX","22",".300",".350",".522",".872","567","170","89","29","90","2","10.6","4.8","1419"
"1988","Paul Molitor","MIL","31",".312",".384",".452",".836","609","190","115","13","60","41","30.4","5.3","1009040"
"1984","Buddy Bell","TEX","32",".315",".382",".458",".840","553","174","88","11","83","2","23.0","6.5","1000799"
"2016","Adrian Beltre","TEX","37",".300",".358",".521",".879","583","175","89","32","104","1","19.8","5.5","639"
"2003","Mike Lowell","FLA","29",".276",".350",".530",".881","492","136","76","32","105","3","19.7","4.1","527"
"2015","Nolan Arenado","COL","24",".287",".323",".575",".898","616","177","97","42","130","2","15.3","4.5","9777"
"1997","Scott Rolen","PHI","22",".283",".377",".469",".846","561","159","93","21","92","16","17.8","4.2","970"
"2000","Corey Koskie","MIN","27",".300",".400",".441",".841","474","142","79","9","65","5","10.1","2.6","738"
"2015","Kris Bryant","CHC","23",".275",".369",".488",".858","559","154","87","26","99","13","33.8","6.1","15429"
"2002","Edgardo Alfonzo","NYM","28",".308",".391",".459",".851","490","151","78","16","56","6","26.2","5.3","859"
"1994","Tim Wallach","LAD","36",".280",".356",".502",".859","414","116","68","23","78","0","16.8","2.4","1013554"
"2004","Mike Lowell","FLA","30",".293",".365",".505",".870","598","175","87","27","85","5","19.2","4.0","527"
"2008","Evan Longoria","TBR","22",".272",".343",".531",".874","448","122","67","27","85","7","21.1","5.6","9368"
"1998","Tony Fernandez","TOR","36",".321",".387",".459",".846","486","156","71","9","72","13","13.5","2.5","1004002"
"2015","Manny Machado","BAL","22",".286",".359",".502",".861","633","181","102","35","86","20","30.4","6.6","11493"
"1998","Scott Brosius","NYY","31",".300",".371",".472",".843","530","159","86","19","98","11","16.5","5.0","1001477"
"2019","Justin Turner","LAD","34",".290",".372",".509",".881","479","139","80","27","67","2","22.3","3.4","5235"
"1977","Eric Soderholm","CHW","28",".280",".350",".500",".850","460","129","77","25","67","2","16.2","3.8","1012260"
"2002","Scott Rolen","- - -","27",".266",".357",".503",".860","580","154","89","31","110","8","18.6","6.5","970"
"1999","Matt Williams","ARI","33",".303",".344",".536",".880","627","190","98","35","142","2","11.6","4.0","77"
"2011","Michael Young","TEX","34",".338",".380",".474",".854","631","213","88","11","106","6","22.3","3.2","1286"
"2010","Scott Rolen","CIN","35",".285",".358",".497",".854","471","134","66","20","83","1","15.9","4.6","970"
"2018","Matt Chapman","OAK","25",".278",".356",".508",".864","547","152","100","24","68","1","31.4","6.7","16505"
"1974","Darrell Evans","ATL","27",".240",".381",".419",".800","571","137","99","25","79","4","18.3","6.8","1003864"
"1989","Bobby Bonilla","PIT","26",".281",".358",".490",".848","616","173","96","24","86","8","28.5","4.3","1001168"
"1982","Bill Madlock","PIT","31",".319",".368",".488",".856","568","181","92","19","95","18","25.1","5.4","1007957"
"2003","Corey Koskie","MIN","30",".292",".393",".452",".845","469","137","76","14","69","11","20.7","4.9","738"
"1998","Ken Caminiti","SDP","35",".252",".353",".509",".862","452","114","87","29","82","6","19.7","2.6","1001863"
"1997","Chipper Jones","ATL","25",".295",".371",".479",".850","597","176","100","21","111","20","20.7","3.7","97"
"2007","Garrett Atkins","COL","27",".301",".367",".486",".853","605","182","83","25","111","3","10.8","2.1","1790"
"1997","Edgardo Alfonzo","NYM","23",".315",".391",".432",".823","518","163","84","10","72","11","18.3","5.6","859"
"1972","Darrell Evans","ATL","25",".254",".384",".419",".803","418","106","67","19","71","4","14.4","4.3","1003864"
"1974","Richie Hebner","PIT","26",".291",".363",".449",".812","550","160","97","18","68","0","20.6","3.4","1005571"
