Season,Name,Team,Position,Age,AVG,OBP,SLG,OPS,AB,H,R,HR,RBI,SB,Off,WAR,playerid
1988,Jack Clark,NYY,Designated Hitter,32,0.242,0.381,0.433,0.815,496,120,81,27,93,3,21.5,2.8,1002288
1985,Reggie Jackson,CAL,Designated Hitter,39,0.252,0.36,0.487,0.847,460,116,64,27,85,1,18.1,1.5,1006308
1974,Frank Robinson,,Designated Hitter,38,0.245,0.367,0.453,0.82,477,117,81,22,68,5,25.1,3,1011066
1982,Richie Zisk,SEA,Designated Hitter,33,0.292,0.354,0.477,0.831,503,147,61,21,62,2,15.6,2,1014455
1992,Chili Davis,MIN,Designated Hitter,32,0.288,0.386,0.439,0.825,444,128,63,12,66,4,14.7,1.7,1003041
1989,Danny Tartabull,KCR,Designated Hitter,26,0.268,0.369,0.44,0.809,441,118,54,18,62,4,17.8,2.2,1012829
1984,Don Baylor,NYY,Designated Hitter,35,0.262,0.341,0.489,0.83,493,129,84,27,89,1,19.5,2.5,1000700
1998,Mike Stanley,,Designated Hitter,35,0.256,0.364,0.481,0.845,497,127,74,29,79,3,13.2,1.9,1012416
1983,Ken Singleton,BAL,Designated Hitter,36,0.276,0.393,0.436,0.829,507,140,52,18,84,0,19.9,2.5,1012011
1997,Geronimo Berroa,,Designated Hitter,32,0.283,0.369,0.467,0.836,561,159,88,26,90,4,15.8,0.8,1000900
2018,Khris Davis,OAK,Designated Hitter,30,0.247,0.326,0.549,0.874,576,142,98,48,123,0,23.6,2.7,9112
2005,Mike Sweeney,KCR,Designated Hitter,31,0.3,0.347,0.517,0.864,470,141,63,21,83,3,12.6,1.7,634
1990,Alvin Davis,SEA,Designated Hitter,29,0.283,0.387,0.429,0.816,494,140,63,17,68,0,16.9,2.7,1003033
2003,Tim Salmon,ANA,Designated Hitter,34,0.275,0.374,0.464,0.838,528,145,78,19,72,3,19,2.3,32
1996,Bobby Bonilla,BAL,Designated Hitter,33,0.287,0.363,0.491,0.853,595,171,107,28,116,1,10.1,1,1001168
2013,Carlos Santana,CLE,Designated Hitter,27,0.268,0.377,0.455,0.832,541,145,75,20,74,3,21.6,2.3,2396
2015,Kendrys Morales,KCR,Designated Hitter,32,0.29,0.362,0.485,0.847,569,165,81,22,106,0,14.7,2.1,8610
2010,Vladimir Guerrero,TEX,Designated Hitter,35,0.3,0.345,0.496,0.841,593,178,83,29,115,4,2.3,1.1,778
1996,Carlos Delgado,TOR,Designated Hitter,24,0.27,0.353,0.49,0.843,488,132,68,25,92,0,8.2,1.6,1297
1983,Andre Thornton,CLE,Designated Hitter,33,0.281,0.383,0.439,0.822,508,143,78,17,77,4,17.1,2.1,1013037
1980,Hal McRae,KCR,Designated Hitter,34,0.297,0.342,0.483,0.825,489,145,73,14,83,10,15,2.1,1008687
2002,Ray Durham,,Designated Hitter,30,0.289,0.374,0.45,0.825,564,163,114,15,70,26,24.8,3.5,230
2020,Michael Brantley,HOU,Designated Hitter,33,0.3,0.364,0.476,0.84,170,51,24,5,22,2,6.5,1.3,4106
1979,Lamar Johnson,CHW,Designated Hitter,28,0.309,0.363,0.449,0.812,479,148,60,12,74,8,13.9,2.1,1006481
2007,Travis Hafner,CLE,Designated Hitter,30,0.266,0.385,0.451,0.837,545,145,80,24,100,1,15,2.2,1573
1998,David Justice,CLE,Designated Hitter,32,0.28,0.363,0.476,0.839,540,151,94,21,88,9,10.8,1.7,923
2002,Frank Thomas,CHW,Designated Hitter,34,0.252,0.361,0.472,0.834,523,132,77,28,92,3,8.3,1.4,255
1988,Brian Downing,CAL,Designated Hitter,37,0.242,0.362,0.442,0.805,484,117,80,25,64,3,17.9,2.5,1003451
2015,Jose Abreu,CHW,Designated Hitter,28,0.29,0.347,0.502,0.85,613,178,88,30,101,0,22.9,3.3,15676
2015,Alex Rodriguez,NYY,Designated Hitter,39,0.25,0.356,0.486,0.842,523,131,83,33,86,4,20.2,2.7,1274
2018,Nelson Cruz,SEA,Designated Hitter,37,0.256,0.342,0.509,0.85,519,133,70,37,97,1,18.4,2.5,2434
1994,Harold Baines,BAL,Designated Hitter,35,0.294,0.356,0.485,0.84,326,96,44,16,54,0,6,0.8,1000434
1997,Harold Baines,,Designated Hitter,38,0.301,0.375,0.458,0.832,452,136,55,16,67,0,11.2,1.6,1000434
2015,Prince Fielder,TEX,Designated Hitter,31,0.305,0.378,0.463,0.841,613,187,78,23,98,0,15.1,2,4613
1987,Harold Baines,CHW,Designated Hitter,28,0.293,0.352,0.479,0.831,505,148,59,20,93,0,13.1,1.7,1000434
1976,Jim Rice,BOS,Designated Hitter,23,0.282,0.315,0.482,0.797,581,164,75,25,85,8,14.1,2.4,1010897
2019,Luke Voit,NYY,Designated Hitter,28,0.263,0.378,0.464,0.842,429,113,72,21,62,0,12.7,1.7,14811
