Season,Name,Team,Position,Age,AVG,OBP,SLG,OPS,AB,H,R,HR,RBI,SB,Off,WAR,playerid
1995,Mike Blowers,SEA,Third Base,30,0.257,0.335,0.474,0.809,439,113,59,23,96,2,5.2,1.8,1001088
2013,Ryan Zimmerman,WSN,Third Base,28,0.275,0.344,0.465,0.809,568,156,84,26,79,6,18.3,2.8,4220
2015,Mike Moustakas,KCR,Third Base,26,0.284,0.348,0.47,0.817,549,156,73,22,82,1,11,3.8,4892
1992,Leo Gomez,BAL,Third Base,26,0.265,0.356,0.425,0.782,468,124,62,17,64,2,11.3,2.7,1004822
1999,Ed Sprague,PIT,Third Base,31,0.267,0.352,0.465,0.817,490,131,71,22,81,3,0.4,0.4,1012356
1994,Todd Zeile,STL,Third Base,28,0.267,0.348,0.47,0.818,415,111,62,19,75,1,6.6,2,457
2016,Justin Turner,LAD,Third Base,31,0.275,0.339,0.493,0.832,556,153,79,27,90,4,18,5,5235
2017,Jake Lamb,ARI,Third Base,26,0.248,0.357,0.487,0.844,536,133,89,30,105,6,9.7,2.5,13329
2006,Mark DeRosa,TEX,Third Base,31,0.296,0.357,0.456,0.812,520,154,78,13,74,4,3.2,2.9,1392
1991,Matt Williams,SFG,Third Base,25,0.268,0.31,0.499,0.809,589,158,72,34,98,5,18.1,5,77
2016,Jake Lamb,ARI,Third Base,25,0.249,0.332,0.509,0.84,523,130,81,29,91,6,14.4,2.4,13329
1978,Pete Rose,CIN,Third Base,37,0.302,0.362,0.421,0.783,655,198,103,7,52,13,15.5,3.5,1011217
1990,Matt Williams,SFG,Third Base,24,0.277,0.319,0.488,0.807,617,171,87,33,122,7,16.1,5,77
1996,Dave Hollins,,Third Base,30,0.262,0.377,0.411,0.788,516,135,88,16,78,6,0.2,3.4,1391
2012,Ryan Zimmerman,WSN,Third Base,27,0.282,0.346,0.478,0.824,578,163,93,25,95,5,17,4,4220
1983,Ron Cey,CHC,Third Base,35,0.275,0.346,0.46,0.805,581,160,73,24,90,0,10.3,1.9,1002108
1997,Dave Hollins,ANA,Third Base,31,0.288,0.363,0.43,0.793,572,165,101,16,85,16,8.7,2.6,1391
2008,Edwin Encarnacion,CIN,Third Base,25,0.251,0.34,0.466,0.807,506,127,75,26,68,1,7.6,1.6,2151
1973,Joe Torre,STL,Third Base,32,0.287,0.376,0.403,0.779,519,149,67,13,69,2,12.5,2.6,1013133
1981,Buddy Bell,TEX,Third Base,29,0.294,0.364,0.428,0.792,360,106,44,10,64,3,11.3,5.5,1000799
1987,Buddy Bell,CIN,Third Base,35,0.284,0.369,0.425,0.794,522,148,74,17,70,4,8.1,2.2,1000799
1998,Bill Mueller,SFG,Third Base,27,0.294,0.383,0.395,0.778,534,157,93,9,59,3,11.2,3.1,295
1971,Ron Santo,CHC,Third Base,31,0.267,0.354,0.423,0.778,555,148,77,21,88,4,8.9,3.4,1011447
1977,Ron Cey,LAD,Third Base,29,0.241,0.347,0.45,0.797,564,136,77,30,110,3,12.5,4.3,1002108
1983,Graig Nettles,NYY,Third Base,38,0.266,0.341,0.446,0.787,462,123,56,20,75,0,12,2.5,1009517
2006,Ryan Zimmerman,WSN,Third Base,21,0.287,0.351,0.471,0.822,614,176,84,20,110,11,10.9,3.8,4220
2017,Alex Bregman,HOU,Third Base,23,0.284,0.352,0.475,0.827,556,158,88,19,71,17,17.7,3.5,17678
2018,Travis Shaw,MIL,Third Base,28,0.241,0.345,0.48,0.825,498,120,73,32,86,5,14.6,3.7,11982
2014,Josh Donaldson,OAK,Third Base,28,0.255,0.342,0.456,0.798,608,155,93,29,98,8,20.8,5.7,5038
1996,Ed Sprague,TOR,Third Base,28,0.247,0.325,0.496,0.821,591,146,88,36,101,0,2.3,2.9,1012356
2002,Mike Lowell,FLA,Third Base,28,0.276,0.346,0.471,0.816,597,165,88,24,92,4,11.3,2.7,527
2005,Bill Mueller,BOS,Third Base,34,0.295,0.369,0.43,0.799,519,153,69,10,62,0,3,3.5,295
2002,Troy Glaus,ANA,Third Base,25,0.25,0.352,0.453,0.805,569,142,99,30,111,10,16.7,3.7,15
2000,Mike Lowell,FLA,Third Base,26,0.27,0.344,0.474,0.818,508,137,73,22,91,4,5.7,2.6,527
