Season,Name,Team,Position,Age,AVG,OBP,SLG,OPS,AB,H,R,HR,RBI,SB,Off,WAR,playerid
2004,Derek Jeter,NYY,Shortstop,30,0.292,0.352,0.471,0.823,643,188,111,23,78,23,17.7,4.7,826
2000,Miguel Tejada,OAK,Shortstop,26,0.275,0.349,0.479,0.828,607,167,105,30,115,6,9.6,3.5,941
2011,Jhonny Peralta,DET,Shortstop,29,0.299,0.345,0.478,0.824,525,157,68,21,86,0,9.5,4.8,1738
2019,Trea Turner,WSN,Shortstop,26,0.298,0.353,0.497,0.85,521,155,96,19,57,35,19.5,3.5,16252
2016,Jonathan Villar,MIL,Shortstop,25,0.285,0.369,0.457,0.826,589,168,92,19,63,62,19.9,3,10071
2008,J.J. Hardy,MIL,Shortstop,25,0.283,0.343,0.478,0.821,569,161,78,24,74,2,7.2,4,3797
2008,Stephen Drew,ARI,Shortstop,25,0.291,0.333,0.502,0.836,611,178,91,21,67,3,6.9,1.9,4251
1987,Tony Fernandez,TOR,Shortstop,25,0.322,0.379,0.426,0.805,578,186,90,5,67,32,13.4,4.8,1004002
2010,Stephen Drew,ARI,Shortstop,27,0.278,0.352,0.458,0.81,565,157,83,15,61,10,11.5,4.8,4251
2000,Rafael Furcal,ATL,Shortstop,22,0.295,0.394,0.382,0.776,455,134,87,4,37,40,6.5,3.3,88
2006,Rafael Furcal,LAD,Shortstop,28,0.3,0.369,0.445,0.814,654,196,113,15,63,37,17,3.8,88
1970,Rico Petrocelli,BOS,Shortstop,27,0.261,0.334,0.473,0.807,583,152,82,29,103,1,10.3,4.5,1010245
1980,Alan Trammell,DET,Shortstop,22,0.3,0.376,0.404,0.779,560,168,107,9,65,12,9.2,4.3,1013157
1975,Chris Speier,SFG,Shortstop,25,0.271,0.362,0.415,0.777,487,132,60,10,69,4,7.2,4.1,1012316
1996,Derek Jeter,NYY,Shortstop,22,0.314,0.37,0.43,0.8,582,183,104,10,78,14,5.3,2.2,826
2009,Marco Scutaro,TOR,Shortstop,33,0.282,0.379,0.409,0.789,574,162,100,12,60,14,12.9,4.3,1555
1972,Bobby Grich,BAL,Shortstop,23,0.278,0.358,0.415,0.773,460,128,66,12,50,13,19.1,5.4,1005033
1989,Jody Reed,BOS,Shortstop,26,0.288,0.376,0.393,0.769,524,151,76,3,40,4,11.1,3.1,1010771
2017,Francisco Lindor,CLE,Shortstop,23,0.273,0.337,0.505,0.842,651,178,99,33,89,15,19.4,5.7,12916
2004,Juan Uribe,CHW,Shortstop,25,0.283,0.327,0.506,0.833,502,142,82,23,74,9,3.8,3.5,454
2019,Jorge Polanco,MIN,Shortstop,25,0.295,0.356,0.485,0.841,631,186,107,22,79,4,20.7,4,13152
1995,Jose Offerman,LAD,Shortstop,26,0.287,0.389,0.375,0.765,429,123,69,4,33,2,9.1,1.8,205
2002,Derek Jeter,NYY,Shortstop,28,0.297,0.373,0.421,0.794,644,191,124,18,75,32,20.5,5.2,826
2006,Michael Young,TEX,Shortstop,29,0.314,0.356,0.459,0.814,691,217,93,14,103,7,2.6,3.4,1286
1970,Luis Aparicio,CHW,Shortstop,36,0.313,0.372,0.404,0.776,552,173,86,5,43,8,9.9,3.9,1000278
2009,Asdrubal Cabrera,CLE,Shortstop,23,0.308,0.361,0.438,0.799,523,161,81,6,68,17,11.8,3,4962
1979,Roy Smalley,MIN,Shortstop,26,0.271,0.353,0.441,0.794,621,168,94,24,95,2,8.2,4.1,1012078
1993,John Valentin,BOS,Shortstop,26,0.278,0.346,0.447,0.793,468,130,50,11,66,3,4.8,5.2,1375
